"message","ts","data"
"remote_audio_level",1642259141541,"{""audioLevel"":0.0031622776601683794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259141699,"{""audioLevel"":0.1,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259142110,"{""audioLevel"":0.0199526231496888,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259142276,"{""audioLevel"":0.008912509381337459,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259142509,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259142517,"{""audioLevel"":0.0223872113856834,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259142699,"{""audioLevel"":0.00707945784384138,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259143110,"{""audioLevel"":0.0031622776601683794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259143282,"{""audioLevel"":0.0035481338923357532,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259143508,"{""audioLevel"":0,""totalAudioEnergy"":1.6431606695004517}"
"remote_audio_level",1642259143517,"{""audioLevel"":0.002818382931264455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259143700,"{""audioLevel"":0.002818382931264455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259144118,"{""audioLevel"":0.002818382931264455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259144274,"{""audioLevel"":0.0025118864315095794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259144511,"{""audioLevel"":0.00184942167424543,""totalAudioEnergy"":1.6431663621939232}"
"remote_audio_level",1642259144518,"{""audioLevel"":0.0031622776601683794,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259144700,"{""audioLevel"":0.002818382931264455,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259145111,"{""audioLevel"":0.000001778279410038923,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259145285,"{""audioLevel"":0.000014125375446227555,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259145511,"{""audioLevel"":0.28760032959990234,""totalAudioEnergy"":1.749775626422542}"
"remote_audio_level",1642259145519,"{""audioLevel"":0.000012589254117941661,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259145701,"{""audioLevel"":0.00000891250938133746,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259146114,"{""audioLevel"":0.00630957344480193,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_audio_level",1642259146277,"{""audioLevel"":0.0008912509381337459,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"local_audio_level",1642259146508,"{""audioLevel"":0.01998962370677816,""totalAudioEnergy"":1.7584467217567534}"
"remote_audio_level",1642259146518,"{""audioLevel"":0.0035481338923357532,""source"":1066940514,""id"":""D66D2775-5619-44B5-B852-61002C83D941-1"",""kind"":""audio"",""label"":""D66D2775-5619-44B5-B852-61002C83D941-1""}"
"remote_track_added",1642259146573,"{""trackData"":{""id"":""2a244673-9b4e-4475-8b3e-cae438a8328d"",""kind"":""audio"",""label"":""2a244673-9b4e-4475-8b3e-cae438a8328d"",""readyState"":""live""}}"
"remote_track_added",1642259146575,"{""trackData"":{""id"":""8b497c77-9a2b-4937-a4eb-26943029c295"",""kind"":""video"",""label"":""8b497c77-9a2b-4937-a4eb-26943029c295"",""readyState"":""live""}}"
"remote_track_unmute",1642259146578,"{""id"":""2a244673-9b4e-4475-8b3e-cae438a8328d"",""kind"":""audio"",""label"":""2a244673-9b4e-4475-8b3e-cae438a8328d"",""readyState"":""live"",""enabled"":true,""contentHint"":"""",""muted"":false}"
